title,pdate,ptime
"บอนด์ยีลด์สหรัฐดีดตัว นักลงทุนจับตาถ้อยแถลง ""พาวเวล""",2023-02-06,23:43:00
"ดาวโจนส์ร่วงกว่า 100 จุด ขายลดความเสี่ยง ก่อนเผยถ้อยแถลง ""พาวเวล""",2023-02-07,21:40:00
"ดาวโจนส์ไหลไม่หยุด ล่าสุดดิ่งกว่า 200 จุด หลุดแนว 34,000",2023-02-08,23:53:00
"หุ้น ""อัลฟาเบท"" ร่วงวันที่ 2 หลังแชตบอตทำหน้าแตก มั่วคำตอบในงานอีเวนต์",2023-02-09,23:20:00
ดาวโจนส์รีบาวด์เกือบ 100 จุด นักลงทุนส่งแรงซื้อกลับเข้าตลาด หลังร่วงช่วงแรก,2023-02-10,23:20:00
AP-ADO/TF ให้ผู้บริหาร AOT เป็นประธานคณะทำงานต่ออีกสมัย,2023-02-11,10:33:00
"หุ้น ""โนวาแวกซ์"" ดีดตัวรับข่าวคว้าดีลขายวัคซีนโควิด 1.5 ล้านโดสให้สหรัฐ",2023-02-13,23:06:00
ดาวโจนส์ไหลไม่หยุด ล่าสุดดิ่งกว่า 300 จุด เงินเฟ้อพุ่งเกินคาดช็อกตลาด,2023-02-14,23:52:00
"ดาวโจนส์ไหลไม่หยุด ล่าสุดดิ่งกว่า 200 จุด ยอดค้าปลีก, CPI ฉุดตลาด",2023-02-15,22:19:00
"บอนด์ยีลด์สหรัฐดีดตัว เก็งเฟดขึ้นดบ.แรง หลังเงินเฟ้อพุ่ง,จ้างงานแกร่ง",2023-02-16,22:13:00
ดาวโจนส์ผันผวน แกว่งตัวบวกลบ ก่อนหยุดยาวช่วงสุดสัปดาห์,2023-02-17,23:06:00
NER เล็งลงทุน 700 ลบ. ขยายกำลังผลิตอีก 1.7 แสนตัน,2023-02-18,10:20:00
"ตลท.ใช้เกณฑ์ Cash Balance หุ้น NTSC, MTW ช่วง 20 ก.พ.-10 มี.ค.",2023-02-19,17:04:00
ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex ร่วงกว่า 300 จุด กังวลเฟดเดินหน้าขึ้นดอกเบี้ย,2023-02-20,21:58:00
"ดาวโจนส์ทรุดกว่า 500 จุด กังวลผลประกอบการซบ,บอนด์ยีลด์พุ่ง",2023-02-21,23:42:00
ดาวโจนส์รีบาวด์ หลังทรุดหนักวานนี้,2023-02-22,21:52:00
"ดาวโจนส์พลิกร่วงแดนลบ หลุดแนว 33,000 ท่ามกลางการซื้อขายผันผวน",2023-02-23,23:29:00
ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex ร่วงวันที่ 6 ซื้อขายผันผวน,2023-02-24,23:04:00
SPRC เผย Q4/65 ขาดทุนจากสต๊อกน้ำมัน แต่ยังปันผลเพิ่ม 0.15 บาทต่อหุ้น,2023-02-25,13:50:00
ดาวโจนส์พุ่งไม่หยุด ล่าสุดทะยานกว่า 300 จุด,2023-02-27,22:28:00
บอนด์ยีลด์สหรัฐพุ่งนิวไฮ 3 เดือนจ่อแตะ 4.0% เก็งเฟดขึ้นดอกเบี้ยแรง,2023-02-28,23:24:00
